rosbagTimestamp,linear,x,y,z,angular,x,y,z
1183357000000,,0.246942628842,0.0,0.0,,0.0,0.0,-0.00526925039672
1183408000000,,0.247000992304,0.0,0.0,,0.0,0.0,-0.00504305303424
1183459000000,,0.247123755537,0.0,0.0,,0.0,0.0,-0.00483018587709
1183508000000,,0.247177873274,0.0,0.0,,0.0,0.0,-0.00459534828316
1183558000000,,0.247234677925,0.0,0.0,,0.0,0.0,-0.0045195759918
1183609000000,,0.247288083279,0.0,0.0,,0.0,0.0,-0.00425496863941
1183660000000,,0.247392657294,0.0,0.0,,0.0,0.0,-0.0039128091983
1183707000000,,0.247392294772,0.0,0.0,,0.0,0.0,-0.00395753949138
1183758000000,,0.247442032112,0.0,0.0,,0.0,0.0,-0.00370073536136
1183808000000,,0.247492316719,0.0,0.0,,0.0,0.0,-0.0036277174503
1183857000000,,0.247537680364,0.0,0.0,,0.0,0.0,-0.003422902128
1183908000000,,0.247633689141,0.0,0.0,,0.0,0.0,-0.00305739982791
1183957000000,,0.247680595859,0.0,0.0,,0.0,0.0,-0.00298859801256
1184007000000,,0.247723184141,0.0,0.0,,0.0,0.0,-0.00279136400767
1184058000000,,0.247768479029,0.0,0.0,,0.0,0.0,-0.00254415227275
1184107000000,,0.247857467058,0.0,0.0,,0.0,0.0,-0.00237410652531
1184157000000,,0.247898865264,0.0,0.0,,0.0,0.0,-0.00213165093562
1184208000000,,0.247939452663,0.0,0.0,,0.0,0.0,-0.00193337034555
1184257000000,,0.247982218401,0.0,0.0,,0.0,0.0,-0.00186887867037
1184308000000,,0.248062569092,0.0,0.0,,0.0,0.0,-0.00169860227422
1184357000000,,0.248099307002,0.0,0.0,,0.0,0.0,-0.00149681809102
1184407000000,,0.248137924666,0.0,0.0,,0.0,0.0,-0.00126400625026
1184457000000,,0.24817644982,0.0,0.0,,0.0,0.0,-0.00120195469979
1184507000000,,0.248247869806,0.0,0.0,,0.0,0.0,-0.000877541455316
1184558000000,,0.248282485252,0.0,0.0,,0.0,0.0,-0.00065072689647
1184608000000,,0.248318782613,0.0,0.0,,0.0,0.0,-0.000575662721137
1184658000000,,0.248384167825,0.0,0.0,,0.0,0.0,-0.000254985537435
1184707000000,,0.248415934114,0.0,0.0,,0.0,0.0,-6.65224377248e-05
1184757000000,,0.248449612318,0.0,0.0,,0.0,0.0,-8.39249284242e-06
1184807000000,,0.248479239118,0.0,0.0,,0.0,0.0,0.000207566121957
1184858000000,,0.248540299905,0.0,0.0,,0.0,0.0,0.000357245808889
1184907000000,,0.248567696849,0.0,0.0,,0.0,0.0,0.000532125039295
1184957000000,,0.248597098764,0.0,0.0,,0.0,0.0,0.000740931428657
1185007000000,,0.248627069599,0.0,0.0,,0.0,0.0,0.000827035216691
1185058000000,,0.248681036493,0.0,0.0,,0.0,0.0,0.000984000818378
1185108000000,,0.248706113391,0.0,0.0,,0.0,0.0,0.00115027156194
1185158000000,,0.248732679444,0.0,0.0,,0.0,0.0,0.00134588583759
1185207000000,,0.24875958429,0.0,0.0,,0.0,0.0,0.00140958199586
1185258000000,,0.248806999807,0.0,0.0,,0.0,0.0,0.00169755917821
1185309000000,,0.248830712283,0.0,0.0,,0.0,0.0,0.00183472062101
1185358000000,,0.248857238405,0.0,0.0,,0.0,0.0,0.00191186271054
1185407000000,,0.24889983518,0.0,0.0,,0.0,0.0,0.00214239507691
1185458000000,,0.248923317413,0.0,0.0,,0.0,0.0,0.00217224741559
1185510000000,,0.248943309445,0.0,0.0,,0.0,0.0,0.0022735952504
1185557000000,,0.248965020316,0.0,0.0,,0.0,0.0,0.00242190531913
1185608000000,,0.249006866793,0.0,0.0,,0.0,0.0,0.00250668861915
1185658000000,,0.249025113439,0.0,0.0,,0.0,0.0,0.0026493961718
1185707000000,,0.249044384467,0.0,0.0,,0.0,0.0,0.00273979576234
1185758000000,,0.249083357746,0.0,0.0,,0.0,0.0,0.0028588543459
1185812000000,,0.249099901086,0.0,0.0,,0.0,0.0,0.00299961698651
1185856000000,,0.249120059429,0.0,0.0,,0.0,0.0,0.00303951047867
1185908000000,,0.249135944037,0.0,0.0,,0.0,0.0,0.00319546538748
1185957000000,,0.249168101441,0.0,0.0,,0.0,0.0,0.00338430197115
1186008000000,,0.249186184571,0.0,0.0,,0.0,0.0,0.00341469831943
1186057000000,,0.24914951868,0.0,0.0,,0.0,0.0,0.00333888850154
1186108000000,,0.249113970417,0.0,0.0,,0.0,0.0,0.00315623575175
1186158000000,,0.249026395664,0.0,0.0,,0.0,0.0,0.00288777136637
1186208000000,,0.248978926037,0.0,0.0,,0.0,0.0,0.00280402370486
1186259000000,,0.24892852646,0.0,0.0,,0.0,0.0,0.00260665295595
1186311000000,,0.248869833322,0.0,0.0,,0.0,0.0,0.00249651320478
1186360000000,,0.248743068545,0.0,0.0,,0.0,0.0,0.00219519349497
1186409000000,,0.248674923716,0.0,0.0,,0.0,0.0,0.00197268884433
1186457000000,,0.24859743067,0.0,0.0,,0.0,0.0,0.00185782657466
1186508000000,,0.248431080901,0.0,0.0,,0.0,0.0,0.00150587474379
1186559000000,,0.24863419985,0.0,0.0,,0.0,0.0,0.0012753015034
1186610000000,,0.248247594942,0.0,0.0,,0.0,0.0,0.00110336798365
